# iRead monochrome asset manifest
# path | source | WxH | bytes | greyscale
tex/grain.png | generated | 200x200 | 9792 | greyscale:yes
tex/paper.png | generated | 256x256 | 2482 | greyscale:yes
img/cursor.png | generated | 32x32 | 258 | greyscale:yes
engrave/sun.png | downloaded+processed | 220x220 | 11575 | greyscale:yes
engrave/moon.png | downloaded+processed | 220x220 | 8724 | greyscale:yes
engrave/col-left.png | downloaded+processed | 230x900 | 49238 | greyscale:yes
engrave/col-right.png | downloaded+processed | 230x900 | 48808 | greyscale:yes
engrave/skull.png | downloaded+processed | 200x200 | 11176 | greyscale:yes
engrave/hand.png | downloaded+processed | 160x160 | 2450 | greyscale:yes
engrave/g1.png | downloaded+processed | 150x150 | 4841 | greyscale:yes
engrave/g2.png | downloaded+processed | 150x150 | 5510 | greyscale:yes
engrave/g3.png | downloaded+processed | 150x150 | 4583 | greyscale:yes
engrave/g4.png | downloaded+processed | 150x150 | 6120 | greyscale:yes
engrave/g5.png | downloaded+processed | 150x150 | 3571 | greyscale:yes
engrave/g6.png | downloaded+processed | 150x150 | 4805 | greyscale:yes
fonts/blackletter.woff2 | downloaded | wOF2 ok | 26512 bytes | UnifrakturMaguntia (Google Fonts, OFL)
fonts/mono.woff2 | downloaded | wOF2 ok | 13500 bytes | Share Tech Mono (Google Fonts, OFL)
